Property Name,City,County,State,Google Search Link,Apartments.com Link,Management Company Link,Property Website (to be filled),Website Type,Phone Number,Email Address,Management Company,Confidence,Source,Notes
Patriot Crossing Apartments,Louisville,Jefferson,KY,https://www.google.com/search?q=Patriot+Crossing+Apartments+Louisville+KY+website,https://www.apartments.com/search/?q=Patriot+Crossing+Apartments+Louisville+KY,https://www.google.com/search?q=Patriot+Crossing+Apartments+Louisville+property+management+company,,official,,,,1.0,manual_verification,
Hayfield,Burlington,BOONE,KY,https://www.google.com/search?q=Hayfield+Burlington+KY+website,https://www.apartments.com/search/?q=Hayfield+Burlington+KY,https://www.google.com/search?q=Hayfield+Burlington+property+management+company,,official,,,,1.0,manual_verification,
Louisville Riverfront,Louisville,Jefferson,KY,https://www.google.com/search?q=Louisville+Riverfront+Louisville+KY+website,https://www.apartments.com/search/?q=Louisville+Riverfront+Louisville+KY,https://www.google.com/search?q=Louisville+Riverfront+Louisville+property+management+company,,official,,,,1.0,manual_verification,
Lexington Park Commons,Lexington,Fayette,KY,https://www.google.com/search?q=Lexington+Park+Commons+Lexington+KY+website,https://www.apartments.com/search/?q=Lexington+Park+Commons+Lexington+KY,https://www.google.com/search?q=Lexington+Park+Commons+Lexington+property+management+company,,official,,,,1.0,manual_verification,
Covington Riverfront,Covington,Kenton,KY,https://www.google.com/search?q=Covington+Riverfront+Covington+KY+website,https://www.apartments.com/search/?q=Covington+Riverfront+Covington+KY,https://www.google.com/search?q=Covington+Riverfront+Covington+property+management+company,,official,,,,1.0,manual_verification,
Owensboro Central,Owensboro,Daviess,KY,https://www.google.com/search?q=Owensboro+Central+Owensboro+KY+website,https://www.apartments.com/search/?q=Owensboro+Central+Owensboro+KY,https://www.google.com/search?q=Owensboro+Central+Owensboro+property+management+company,,official,,,,1.0,manual_verification,
