Property Name,City,County,Google Maps,Google Search,Apartments.com,Zillow,County Assessor,Confidence,Address (to be filled),Source (to be filled)
Palms at Sunset Lakes,Zachary,East Baton Rouge,https://www.google.com/maps/search/Palms%20at%20Sunset%20Lakes%20Zachary%20FL,https://www.google.com/search?q=%22Palms%20at%20Sunset%20Lakes%22%20%22Zachary%22%20%22FL%22%20address,https://www.apartments.com/search/?query=Palms%20at%20Sunset%20Lakes%20Zachary,https://www.zillow.com/homes/Palms%20at%20Sunset%20Lakes%20Zachary%20FL_rb/,,Manual,,
Fox Creek Apartments,Shreveport,Caddo Parish,https://www.google.com/maps/search/Fox%20Creek%20Apartments%20Shreveport%20FL,https://www.google.com/search?q=%22Fox%20Creek%20Apartments%22%20%22Shreveport%22%20%22FL%22%20address,https://www.apartments.com/search/?query=Fox%20Creek%20Apartments%20Shreveport,https://www.zillow.com/homes/Fox%20Creek%20Apartments%20Shreveport%20FL_rb/,,Manual,,
Magnolia Gardens,Baton Rouge,E. Baton Rouge Parish,https://www.google.com/maps/search/Magnolia%20Gardens%20Baton%20Rouge%20FL,https://www.google.com/search?q=%22Magnolia%20Gardens%22%20%22Baton%20Rouge%22%20%22FL%22%20address,https://www.apartments.com/search/?query=Magnolia%20Gardens%20Baton%20Rouge,https://www.zillow.com/homes/Magnolia%20Gardens%20Baton%20Rouge%20FL_rb/,,Manual,,
New Orleans Garden District,New Orleans,Orleans,https://www.google.com/maps/search/New%20Orleans%20Garden%20District%20New%20Orleans%20FL,https://www.google.com/search?q=%22New%20Orleans%20Garden%20District%22%20%22New%20Orleans%22%20%22FL%22%20address,https://www.apartments.com/search/?query=New%20Orleans%20Garden%20District%20New%20Orleans,https://www.zillow.com/homes/New%20Orleans%20Garden%20District%20New%20Orleans%20FL_rb/,,Manual,,
Baton Rouge South Park,Baton Rouge,East Baton Rouge,https://www.google.com/maps/search/Baton%20Rouge%20South%20Park%20Baton%20Rouge%20FL,https://www.google.com/search?q=%22Baton%20Rouge%20South%20Park%22%20%22Baton%20Rouge%22%20%22FL%22%20address,https://www.apartments.com/search/?query=Baton%20Rouge%20South%20Park%20Baton%20Rouge,https://www.zillow.com/homes/Baton%20Rouge%20South%20Park%20Baton%20Rouge%20FL_rb/,,Manual,,
Shreveport Central Apartments,Shreveport,Caddo,https://www.google.com/maps/search/Shreveport%20Central%20Apartments%20Shreveport%20FL,https://www.google.com/search?q=%22Shreveport%20Central%20Apartments%22%20%22Shreveport%22%20%22FL%22%20address,https://www.apartments.com/search/?query=Shreveport%20Central%20Apartments%20Shreveport,https://www.zillow.com/homes/Shreveport%20Central%20Apartments%20Shreveport%20FL_rb/,,Manual,,
Monroe Park Plaza,Monroe,Ouachita,https://www.google.com/maps/search/Monroe%20Park%20Plaza%20Monroe%20FL,https://www.google.com/search?q=%22Monroe%20Park%20Plaza%22%20%22Monroe%22%20%22FL%22%20address,https://www.apartments.com/search/?query=Monroe%20Park%20Plaza%20Monroe,https://www.zillow.com/homes/Monroe%20Park%20Plaza%20Monroe%20FL_rb/,,Manual,,
Lafayette Garden Apartments,Lafayette,Lafayette,https://www.google.com/maps/search/Lafayette%20Garden%20Apartments%20Lafayette%20FL,https://www.google.com/search?q=%22Lafayette%20Garden%20Apartments%22%20%22Lafayette%22%20%22FL%22%20address,https://www.apartments.com/search/?query=Lafayette%20Garden%20Apartments%20Lafayette,https://www.zillow.com/homes/Lafayette%20Garden%20Apartments%20Lafayette%20FL_rb/,,Manual,,
